"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Remove cart item - Valid","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_cart","",""
"","4","Add item - Missing product_id","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_cart","",""
"","4","Remove cart item - Invalid product_id","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_cart","",""
"","14","Increase quantity of existing item","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_cart","",""
"","3","Invalid registration - Missing password","tests","Sun Jul 13 23:05:14 UTC 2025","passed","Sun Jul 13 23:05:14 UTC 2025","TestUserManager","test_user","",""
"","601","Valid login","tests","Sun Jul 13 23:05:12 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_cart","",""
"","3","Invalid login - Missing username","tests","Sun Jul 13 23:05:15 UTC 2025","passed","Sun Jul 13 23:05:15 UTC 2025","TestUserManager","test_user","",""
"","5","View order - Valid","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_order","",""
"","18","Submit order - Valid","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_order","",""
"","303","Valid registration","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:14 UTC 2025","TestUserManager","test_user","",""
"","4","View order - Invalid","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_order","",""
"","15","Valid user deletion","tests","Sun Jul 13 23:05:15 UTC 2025","passed","Sun Jul 13 23:05:15 UTC 2025","TestUserManager","test_user","",""
"","3","Get all products","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_product","",""
"","587","Valid login","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_order","",""
"","294","Invalid registration - Username exists","tests","Sun Jul 13 23:05:14 UTC 2025","passed","Sun Jul 13 23:05:14 UTC 2025","TestUserManager","test_user","",""
"","3","Get product - Valid","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_product","",""
"","583","Invalid login - Wrong password","tests","Sun Jul 13 23:05:14 UTC 2025","passed","Sun Jul 13 23:05:15 UTC 2025","TestUserManager","test_user","",""
"","3","Get product - Invalid","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_product","",""
"","584","Valid login","tests","Sun Jul 13 23:05:14 UTC 2025","passed","Sun Jul 13 23:05:14 UTC 2025","TestUserManager","test_user","",""
"","12","View cart items - Valid","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_cart","",""
"","15","Add new item","tests","Sun Jul 13 23:05:13 UTC 2025","passed","Sun Jul 13 23:05:13 UTC 2025","TestProductManager","test_cart","",""
